Bank,Assents,OwnCapital,IndFunds,NBSLoans,IndLoans
«Авангард»,122109,20440,35443,32728,3319
«Аверс»,110741,24410,34918,13613,4924
«Агора»,1114,356,274,351,206
«Агропромкредит»,18774,2332,12047,6484,903
«Агророс»,7917,1157,3564,1909,492
«Ак Барс»,588479,73961,119894,210731,80599
«Акрополь»,1382,1024,63,2,2
«Акцепт»,20209,2742,9777,8966,2106
«Александровский»,18754,2272,8414,7264,1129
«Альба Альянс»,2812,2115,147,526,182
«Альтернатива»,306,272,0,113,20
«Арзамас»,2252,640,1120,813,60
«Бизнес-Сервис-Траст»,3412,783,1820,1824,1024
«БНП Париба»,69875,11589,0,8671,0
«Венец»,6159,1043,3784,3497,1211
«Веста»,6298,1192,2127,2402,757
«Викинг»,2033,642,189,479,25
«Возрождение»,222021,28903,129313,136948,88988
«Вологжанин»,3737,466,2594,1651,394
«Восточный»,194676,30135,140125,100964,114851
«Вятич»,1266,450,592,32,0
«Гарант-Инвест»,9111,1768,2899,6284,617
«Гефест»,661,347,43,160,26
«Глобус»,2944,597,1242,952,126
«Далена»,3960,729,1084,31,8
«Денизбанк Москва»,24165,6226,486,14248,1
«Держава»,34655,8219,2620,4922,3307
«Долинск»,4030,379,1447,1078,442
«Дружба»,1076,355,163,182,33
«Евроальянс»,2184,398,1320,515,175
«Екатеринбург»,9797,1401,5997,4387,4229
«Енисейский объединенный»,5982,574,3822,2765,1773
«Ермак»,2239,840,494,699,181
«Заречье»,2762,1130,1068,1192,16
«Земельный»,821,464,225,55,4
«Зенит»,238939,34761,106365,133438,44961
«Интеза»,78013,14306,12908,51006,1707
«Йошкар-Ола»,2341,336,1348,1245,85
«Ирс»,1616,760,436,299,46
«Итуруп»,11038,1340,1142,2077,75
«Калуга»,1534,345,825,769,169
«Капитал»,2307,1934,242,21,2
«Кетовский»,2532,504,1335,1738,69
«Кольцо Урала»,40063,5665,21854,10989,6164
«Консервативный» КБ,21872,1459,615,37,11
«Континенталь»,444,391,0,189,21
«Космос»,862,365,293,378,39
«Креди Агриколь» КИБ,64029,13538,0,20540,0
«Кредит Свисс» (Москва),35814,14369,0,33,0
«Кремлевский»,4594,2308,628,1743,153
«Кубань Кредит»,114898,13735,72218,63851,15484
«Кузнецкий»,6503,709,3194,3796,1114
«Курган»,1307,505,450,602,18
«Левобережный»,72851,10340,40096,42243,23924
«Майский»,1017,342,519,664,117
«Максима»,882,308,0,312,19
«МБА-Москва»,7988,7210,114,706,90
«Мегаполис»,5578,591,2566,3258,1062
«Межфинансклуб»,59304,8487,22418,9240,769
«Металлург»,765,320,62,0,0
«Мидзухо Банко» (Москва),111522,18277,87,42565,0
«Москва-Сити»,4117,1310,1357,772,352
«Нальчик»,1408,548,523,281,61
«Национальный стандарт»,31225,10593,12365,17228,414
«Нейва»,9041,639,4550,985,863
«Новокиб»,1686,430,358,719,324
«Новый век»,3947,1139,511,1285,249
«Ноосфера»,1884,370,261,350,77
«Объединенный капитал»,53476,8046,20966,3511,844
«Онего»,2909,516,6,67,43
«Оранжевый»,6936,677,4738,4151,2953
«Оренбург»,16651,3148,10201,9230,5960
«Пересвет»,319752,87712,1322,241844,3620
«Пермь»,2325,552,697,961,251
«Платина»,4349,1088,323,243,14
«Пойдем!»,14893,3713,10594,10569,14026
«Приморье»,36385,3087,24082,10958,1312
«Приобье»,2196,461,1094,867,45
«Прохладный»,1159,331,725,710,48
«ПСА Финанс Рус»,2696,2515,0,64,0
«Развитие-Столица»,17538,3471,1942,5560,3886
«Ренессанс Кредит»,134323,32302,90639,105310,129555
«РЕСО Кредит»,13753,3592,2332,21,25
«Россия»,1025076,91636,129857,512062,31084
«Ростфинанс»,7436,1171,3830,4431,2534
«Русский стандарт»,273086,37293,151631,91287,131912
«Санкт-Петербург»,716638,85227,249113,447252,107114
«Саратов»,2072,1103,392,942,163
«Сервис резерв»,1648,342,373,57,91
«Система»,2570,1086,581,813,254
«Славия»,7108,1028,3263,4044,126
«Снежинский»,10493,1852,5635,2522,1329
«Соколовский»,803,430,189,485,10
«Солидарность»,56071,19604,29447,26177,6523
«Союз»,88526,11240,36648,45435,16396
«Спутник»,2062,330,552,341,104
«Стандарт-Кредит»,785,312,262,327,58
«Столичный кредит»,1182,357,140,395,112
«Таврический»,110990,18260,42406,44642,656
«Тайдон»,333,315,0,185,18
«Траст»,473754,-1357080,163,314021,7018
«Уралсиб»,506740,60111,174225,240439,168196
«Уралфинанс»,2847,509,934,102,51
«Финам»,10354,1739,2980,245,286
«Финсервис»,113248,10951,13142,30273,3734
«Финтех»,4601,374,47,57,0
«ФК Открытие»,2530760,358641,938382,1468180,423075
«Форштадт»,13514,3359,6637,6880,4174
«Химик»,862,322,340,366,57
«Хлынов»,26410,4030,13814,14525,6697
«Центр-Инвест»,120199,14294,72423,85218,55749
«Центрокредит»,101904,30676,3644,18701,2930
«Эко-Инвест»,797,300,367,17,5
«Элита»,2940,504,951,1296,327
«Юнистрим»,3529,1052,32,274,91
Абсолют-банк,253703,31477,118277,137449,96532
Автоградбанк,6191,748,4243,3446,1373
Автокредитбанк,2643,545,396,1136,101
Автоторгбанк,20378,4055,942,1982,1073
Азиатско-Тихоокеанский банк,128217,15601,55357,70879,56753
Азия-Инвест банк,7190,1569,0,1103,24
АйСиБиСи-банк,75050,20717,38,25190,0
Акибанк,25266,5111,11521,9447,1412
Актив-банк,10601,1052,7207,4094,797
Алеф-банк,27769,4522,6488,6199,447
Алма-банк,3526,1113,635,1200,79
Алмазэргиэнбанк,28615,4489,16613,17821,7044
Алтайкапиталбанк,3865,647,1445,2741,234
Алтынбанк,1556,520,120,316,160
Альфа-банк,4229025,612922,1350517,2662749,811424
Америкэн Экспресс Банк,1697,1074,0,750,0
Аресбанк,32018,3747,3983,7037,1019
Байкалкредобанк,1149,342,649,648,62
Балаково-банк,898,366,237,374,62
Балтинвестбанк,46446,-20345,3992,30088,17998
Банк «Раунд»,12663,1142,5450,1454,386
Банк 131,866,423,0,0,0
Банк Казани,12829,2162,5160,6126,1238
Банк РСИ,1112,338,205,67,36
Банк СГБ,62174,5323,18534,20139,10591
ББР-банк,109065,6945,34353,81276,4184
Белгородсоцбанк,8065,1315,4178,3063,211
Бест Эффортс Банк,5144,1566,30,110,7
БЖФ-банк,11604,2175,8111,6795,5140
БКС-банк,73675,7907,32935,9916,329
БКФ,9987,1435,3921,6181,154
БМ-банк,500910,70396,0,17362,0
БМВ-банк,54427,5041,0,40093,39318
Братский АНКБ,4584,520,2448,1921,230
БыстроБанк,32675,4307,23909,19102,20533
Бэнк оф Чайна,58425,8587,2944,7047,0
Вакобанк,1437,490,565,149,52
ВБРР,908331,140874,103725,440436,67205
Великие Луки банк,2053,1095,511,446,45
Витабанк,2121,383,725,546,290
ВКАбанк,1306,1192,24,28,0
Владбизнесбанк,3780,1088,1359,2382,1263
Внешфинбанк,3158,1172,804,125,16
ВТБ,15813216,1662670,4661791,10632646,3293583
ВУЗ-банк,125764,-5168,14142,96603,4786
Газнефтьбанк,2570,313,1887,1215,657
Газпромбанк,7613174,746441,1408510,4767259,690853
Газтрансбанк,6451,1883,4080,3734,368
Газэнергобанк,52708,-650,20512,34369,4502
Генбанк,45850,-5918,18559,6864,5124
Геобанк,873,309,395,12,0
Голдман Сакс Банк,39807,5246,0,310,0
Горбанк,6499,3263,2859,575,39
Гута-банк,6134,3142,1026,654,408
Дальневосточный банк,38127,9202,14618,18411,7325
Датабанк,13094,1434,8187,6452,1855
Дж.П.Морган Банк Инт.,51719,31252,0,0,0
Джей энд Ти Банк,21448,7820,8191,7616,677
Дойче-банк,142442,17176,0,14724,0
ДОМ.РФ,439647,86578,91817,259279,146375
Дом-банк,1325,466,246,72,27
Донкомбанк,3897,453,2495,649,169
Дон-Тексбанк,928,332,497,217,210
ЕАТП-банк,1026,367,408,640,692
Евразийский банк,2719,1561,463,90,4
Евроазиатский Инвестбанк,1953,408,809,1042,31
Живаго-банк,2736,360,1489,999,346
Запсибкомбанк,120414,17283,70138,78792,61521
Заубер-банк,4354,1062,1732,705,781
Земский банк,6368,1026,4950,3749,670
Зираат-банк,8961,3161,1058,4326,51
Икано-банк,1746,568,26,1015,12
ИК-банк,2382,1301,405,154,37
Инбанк,19690,3025,14551,8544,949
Инвестторгбанк,164348,-12121,56470,75441,8808
ИНГ-банк (Евразия),223866,38512,2232,23539,0
Интерпрогрессбанк,35846,4385,16304,17668,1913
Интерпромбанк,20785,6912,7526,10549,3770
ИС-банк,5446,1159,3,2600,498
ИТ-банк,2394,369,1470,420,51
Ишбанк,14751,6354,3165,5877,129
Камский коммерческий банк,3806,558,2329,2249,1517
Камчатпрофитбанк,3765,728,2252,1327,259
КИБ,6684,2153,0,443,25
Киви-банк,52510,13077,7016,1507,15
Классик Эконом Банк,884,432,225,549,220
Коммерцбанк (Евразия),102695,11293,0,21808,0
Костромаселькомбанк,2209,431,846,760,620
Кошелев-банк,18382,2012,13258,7486,3317
Кредит Европа Банк,128283,17581,74356,87511,65714
Кредит Урал банк,38376,5186,23571,14788,11769
Крокус-банк,4842,1306,2349,1239,210
Крона-банк,1686,558,494,1011,47
Кросна-банк,3391,336,2852,381,177
Кс-банк,12135,983,9476,8477,3219
Кубаньторгбанк,5099,1350,2960,1296,186
Кузбассхимбанк,1721,372,1258,1066,143
Кузнецкбизнесбанк,7780,1699,4748,2974,1832
КЭБ Эйчэнби Банк,44353,4845,0,15300,5
Ланта-банк,35537,2299,13653,5921,818
Локо-банк,113893,17930,56379,47653,46474
Майкопбанк,1760,331,1076,831,137
МВС-банк,537,370,50,227,94
Международный комбанк,2238,501,1070,719,500
Мерседес-Бенц Банк Рус,30060,5140,0,21523,22201
Металлинвестбанк,107217,15863,48335,59216,23558
Меткомбанк,70610,19259,17099,27709,1850
МИнБ,274008,7566,169596,76068,22957
Модульбанк,24411,2649,31,1398,34
Морской банк,17885,1969,5821,7913,36
Московский кредитный банк,2988171,271793,493696,2199626,130331
Москомбанк,4471,1146,1189,597,59
Москоммерцбанк,21169,8660,8856,8557,2722
Мособлбанк,433292,-133031,72027,88607,6039
МС Банк Рус,31648,4126,485,26866,26771
МСКБ,1041,330,346,530,97
МСП-банк,130622,26478,557,81358,5
МТИ-банк,1498,413,312,409,50
МТС-банк,205066,37471,105436,119874,108186
Народный Доверительный банк,1701,346,86,46,68
Натиксис-банк,32907,6704,0,22855,0
Нацбанк сСбережений,1060,329,275,312,97
НБД-банк,23679,5073,12673,11297,323
Нефтепромбанк,8215,1354,3166,4637,1895
НИБ,1678,552,599,143,129
Нико-банк,13006,2030,8586,7495,3455
НИПБ,13373,2717,8181,5862,467
НК-банк,18540,3048,9135,6885,2195
Новикомбанк,512103,61947,33921,405489,5120
Новобанк,9215,1605,3606,1338,731
Новый московский банк,1989,690,534,736,105
Нокссбанк,4513,2300,765,2941,1619
Норвик-банк,17358,1829,11272,6048,3982
Нордеа-банк,53196,30266,455,20057,0
НРБ,12248,5387,739,4538,861
