client,Recency,Frequency,Monetary,total_quantity,avg_check,total_unique_items,avg_items_per_visit,weekend_visits,amount_last_visit,relative_value_pct,event
client1,587.0,1.0,2273.0,9.0,2273.0,4.0,9.0,0.0,399.0,0.05847232622876134,False
client10,27.0,1.0,4757.0,3.0,4757.0,3.0,3.0,0.0,4599.0,0.12237257187427088,False
client100,116.0,1.0,7299.0,1.0,7299.0,1.0,1.0,0.0,7299.0,0.18776485224097184,False
client1000,8.0,12.0,31792.0,151.0,2649.3333333333335,28.0,12.583333333333334,12.0,1359.0,0.8178408251054907,True
client10000,396.0,1.0,8495.0,5.0,8495.0,5.0,5.0,0.0,799.0,0.21853163718140237,False
client10001,21.0,5.0,1874.0,33.0,374.8,18.0,6.6,17.0,179.0,0.048208156336427076,False
client10002,94.0,4.0,5850.0,25.0,1462.5,18.0,6.25,9.0,13.0,0.15048970894775796,False
client10003,1.0,39.0,54360.0,577.0,1393.8461538461538,110.0,14.794871794871796,13.0,385.0,1.398396680068397,True
client10004,35.0,10.0,7204.0,50.0,720.4,35.0,5.0,13.0,119.0,0.18532100226660653,True
client10005,116.0,5.0,4846.0,33.0,969.2,22.0,6.6,0.0,39.0,0.12466207342920257,False
client10006,392.0,1.0,4493.0,27.0,4493.0,6.0,27.0,6.0,29.0,0.11558124141919256,False
client10007,26.0,4.0,26944.0,19.0,6736.0,18.0,4.75,13.0,449.0,0.6931273022031437,False
client10008,18.0,1.0,2999.0,1.0,2999.0,1.0,1.0,0.0,2999.0,0.07714848498022668,False
client10009,201.0,1.0,1799.0,1.0,1799.0,1.0,1.0,0.0,1799.0,0.046278801093507106,False
client1001,68.0,37.0,35510.0,177.0,959.7297297297297,82.0,4.783783783783784,25.0,269.0,0.9134853956811769,False
client10010,205.0,1.0,8298.0,11.0,8298.0,2.0,11.0,0.0,1395.0,0.21346386407666587,False
client10011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
client10012,13.0,25.0,32182.0,68.0,1287.28,29.0,2.72,17.0,429.0,0.8278734723686745,True
client10013,377.0,3.0,2502.0,16.0,834.0,9.0,5.333333333333333,4.0,236.0,0.06436329090381032,False
client10014,357.0,3.0,2206.0,13.0,735.3333333333334,11.0,4.333333333333333,10.0,379.0,0.056748768878419495,False
client10015,55.0,7.0,13398.0,68.0,1914.0,29.0,9.714285714285714,16.0,249.0,0.3446600205952241,False
client10016,105.0,14.0,56180.0,295.0,4012.8571428571427,62.0,21.071428571428573,34.0,311.0,1.4452157006299216,False
client10017,44.0,9.0,5979.0,30.0,664.3333333333334,21.0,3.3333333333333335,3.0,2999.0,0.1538081999655803,False
client10018,12.0,17.0,65698.0,105.0,3864.5882352941176,38.0,6.176470588235294,20.0,244.0,1.6900637433247525,True
client10019,83.0,4.0,16480.0,39.0,4120.0,22.0,9.75,6.0,1398.0,0.42394365871094886,False
client1002,118.0,3.0,2558.0,23.0,852.6666666666666,20.0,7.666666666666667,0.0,119.0,0.06580387615185723,False
client10020,178.0,4.0,12270.0,35.0,3067.5,18.0,8.75,9.0,1284.0,0.3156425177417077,False
client10021,191.0,1.0,7499.0,1.0,7499.0,1.0,1.0,0.0,7499.0,0.19290979955542512,False
client10022,728.0,1.0,381.0,5.0,381.0,5.0,5.0,5.0,65.0,0.009801124634033466,False
client10023,57.0,31.0,92821.0,399.0,2994.2258064516127,84.0,12.870967741935484,59.0,15.0,2.387795773374332,True
client10024,74.0,1.0,2593.0,10.0,2593.0,5.0,10.0,0.0,1995.0,0.06670424193188657,False
client10025,525.0,1.0,3666.0,4.0,3666.0,4.0,4.0,4.0,1599.0,0.09430688427392832,False
client10026,644.0,1.0,1223.0,7.0,1223.0,4.0,7.0,4.0,729.0,0.031461352827881706,False
client10027,354.0,2.0,3960.0,12.0,1980.0,7.0,6.0,0.0,149.0,0.10186995682617461,False
client10028,54.0,8.0,8744.0,61.0,1093.0,19.0,7.625,6.0,319.0,0.22493709658789668,False
client10029,41.0,2.0,3435.0,26.0,1717.5,10.0,13.0,0.0,94.0,0.0883644701257348,False
client1003,127.0,7.0,5901.0,49.0,843.0,27.0,7.0,19.0,409.0,0.15180167051294355,False
client10030,87.0,5.0,2745.0,36.0,549.0,11.0,7.2,3.0,58.0,0.07061440189087104,False
client10031,19.0,23.0,26596.0,97.0,1156.3478260869565,53.0,4.217391304347826,16.0,54.0,0.684175093875995,False
client10032,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
client10033,355.0,1.0,645.0,5.0,645.0,1.0,5.0,0.0,645.0,0.016592455089111773,False
client10034,358.0,1.0,3190.0,1.0,3190.0,1.0,1.0,1.0,3190.0,0.08206190966552955,True
client10035,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
client10036,537.0,3.0,12897.0,29.0,4299.0,9.0,9.666666666666666,0.0,2927.0,0.33177192757251867,False
client10037,25.0,15.0,48660.0,70.0,3244.0,35.0,4.666666666666667,11.0,768.0,1.2517656816064788,True
client10038,118.0,3.0,1184.0,11.0,394.6666666666667,5.0,3.6666666666666665,1.0,83.0,0.030458088101563315,False
client10039,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
client1004,217.0,2.0,2883.0,17.0,1441.5,7.0,8.5,7.0,109.0,0.07416441553784378,False
client10040,413.0,1.0,1756.0,4.0,1756.0,2.0,4.0,2.0,657.0,0.04517263742089965,False
client10041,374.0,2.0,13449.0,27.0,6724.5,19.0,13.5,0.0,367.0,0.3459719821604097,False
client10042,486.0,1.0,3766.0,21.0,3766.0,14.0,21.0,0.0,299.0,0.09687935793115494,False
client10043,112.0,1.0,274.0,2.0,274.0,2.0,2.0,2.0,225.0,0.007048577820800971,False
client10044,504.0,1.0,548.0,1.0,548.0,1.0,1.0,1.0,548.0,0.014097155641601942,False
